system:index,DEM,DPSVImodified,DPSVInormalized,DPSVIoriginal,LIA,NRPB,RFDI,RVI,VDDPI,VH,VH/VV,VV,VV/VH,angle,precipitation12hours,precipitationCurrent,slope,temperature,.geo
1_S1B_IW_GRDH_1SDV_20210102T051723_20210102T051748_024971_02F8D2_9CAD_0,552.6361600019801,1.831023561344388,0.013270342219454724,0.029220110384797892,38.676802682058025,-0.011901502736827064,0.011901502736827064,1.976196994526346,1.9764840988241368,-16.63483870744933,0.9764840988241367,-9.052073185182076,1.0240974162427299,31.067855834960938,0.011898577213287354,0.005401670932769775,9.026437020207952,-2.2083801269531023,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
1_S1A_IW_GRDH_1SDV_20210103T050942_20210103T051007_035969_0436B5_1963_0,552.0939162515793,1.5135537219257198,0.010871460828063773,0.018581666857410237,47.974289141713996,-0.009427618771506054,0.009427618771506054,1.981144762456988,1.981321606916059,-15.465129570861889,0.9813216069160591,-9.579048756920518,1.0190354766889307,40.44420623779297,3.1868740916252136,0.05844235420227051,9.26193549929286,1.8407836914062727,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
2_S1A_IW_GRDH_1SDV_20210106T164326_20210106T164351_036020_043871_B44E_0,551.7119302383197,0.9478683814178674,0.009572672815872178,0.010588719654210123,23.020886310498017,-0.009605288545138195,0.009605288545138195,1.9807894229097238,1.9809728902582746,-16.53392031749732,0.9809728902582744,-9.765440249080982,1.019397631395012,31.16904640197754,6.902576982973585,0.5734413862228394,9.427456222026805,-0.7183288574218523,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
1_S1A_IW_GRDH_1SDV_20210108T051753_20210108T051818_036042_04393F_44EA_0,552.2004804441914,1.2301726606420793,0.012150714338593232,0.0176505064892383,38.08024965265973,-0.011122695512458028,0.011122695512458028,1.977754608975084,1.9780007168913702,-16.35062042216789,0.9780007168913701,-9.221133469261083,1.0224971017705309,31.10915184020996,0.0079423189163208,0.0033527612686157227,7.939368979230199,-4.11052551269529,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
1_S1B_IW_GRDH_1SDV_20210109T050911_20210109T050936_025073_02FC03_64A5_0,551.294787729819,0.5601740585688527,0.0076529840840873714,0.005082845952805602,47.44919416553163,-0.00874492467959481,0.00874492467959481,1.9825101506408105,1.9826639216252735,-17.289398325390035,0.9826639216252734,-10.262574667022179,1.017646409691721,40.22891616821289,0.11831521987915039,0.01290440559387207,8.7971122818669,-4.89153137207029,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
2_S1A_IW_GRDH_1SDV_20210111T165130_20210111T165155_036093_043B07_9586_0,551.5624781115301,1.4406049837495156,0.005711779486309784,0.009667484039918366,32.06389769797047,-0.00752795052974335,0.00752795052974335,1.9849440989405132,1.9850568033932696,-17.81931882715759,0.9850568033932695,-10.866266241304473,1.0151703217128558,40.44639205932617,0.015164911644660606,0.0,9.49152197438508,-4.737463378906227,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
2_S1B_IW_GRDH_1SDV_20210112T164244_20210112T164309_025124_02FDBF_AB96_0,553.9741050983298,0.3680969044833337,0.009436457061671278,0.0042038636518818215,24.68975184765786,-0.010308507912715219,0.010308507912715219,1.9793829841745694,1.9795942937842863,-17.589828580915675,0.9795942937842861,-9.710828968176516,1.0208327693961081,31.1561279296875,3.3182755112193263,0.5295530688727013,8.704875631285418,1.0410858154297102,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
1_S1B_IW_GRDH_1SDV_20210114T051722_20210114T051747_025146_02FE71_6D02_0,552.8490334797375,0.9987969978094271,0.010578549780794158,0.012878022839555976,37.94874587503,-0.010781266026411027,0.010781266026411027,1.978437467947178,1.978668459261135,-17.195027183365312,0.978668459261135,-9.484859983791397,1.0217986039952018,31.067140579223633,3.0585259198119275,0.48916786909103394,7.644601257681258,-3.2557434082031023,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
1_S1A_IW_GRDH_1SDV_20210115T050941_20210115T051006_036144_043CD9_3659_0,552.7560292511738,1.9232078331187,0.005590099617329535,0.011823456159880412,47.66047368524816,-0.0063459009003921036,0.0063459009003921036,1.9873081981992158,1.9873883362809257,-16.40592945778514,0.9873883362809259,-11.07886531963983,1.0127729662340093,40.444400787353516,1.0845959186553955,0.02070516347885132,8.379610588280437,-3.8098052978515398,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
2_S1B_IW_GRDH_1SDV_20210117T165049_20210117T165114_025197_030006_B928_0,550.684055967914,0.3034032696959296,0.0051896075318262885,0.0018510816249702705,34.15692081125441,-0.007261148339371063,0.007261148339371063,1.985477703321258,1.9855834645354389,-18.201821549585087,0.9855834645354389,-11.077212295600583,1.0146296358836884,40.4390869140625,0.26992708444595337,0.011295080184936523,7.341976872092402,-5.551123046874977,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
2_S1A_IW_GRDH_1SDV_20210118T164326_20210118T164351_036195_043E95_03AA_0,551.1337725697655,0.5727470635146731,0.004724486571251178,0.002948656105020224,24.876015225599975,-0.005799399315809398,0.005799399315809398,1.9884012013683812,1.9884687682115514,-16.727493246920094,0.9884687682115514,-11.459016311188082,1.0116671716284589,31.170276641845703,1.145753264324867,0.024959444999694824,7.715176509917371,-0.42430725097653976,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
